Date,btc_price_usd,eth_price_usd,bnb_price_usd,sol_price_usd,xrp_price_usd,btc_daily_return,eth_daily_return,bnb_daily_return,sol_daily_return,xrp_daily_return,btc_price_indexed,eth_price_indexed,bnb_price_indexed,sol_price_indexed,xrp_price_indexed,month,quarter,year,btc_return_direction,eth_return_direction,bnb_return_direction,sol_return_direction,xrp_return_direction
2025-05-23,111560.356938144,2657.1674447566115,686.0302393255067,179.57884486750282,2.4284164339274192,0.0172751406654048,0.0383818368408312,0.0167721575024106,0.0322538612459715,0.0106191731896074,0.7866086860041823,0.3531430479407324,0.17490579005122697,0.5996945417636654,0.5180390673924994,5,2025Q2,2025,Up,Up,Up,Up,Up
2025-05-24,107216.66856870624,2519.813809045145,655.3681110510369,174.43566967519817,2.2991928362328755,-0.0389357697362529,-0.0516917501689653,-0.0446950098068801,-0.0286402064569432,-0.0532131128290683,0.7164584736727937,0.31223799375659855,0.1344713246264575,0.5694074083531546,0.4628196014151744,5,2025Q2,2025,Down,Down,Down,Down,Down
2025-05-25,107831.36374380375,2529.4429842284358,667.9647953294073,175.9976176396849,2.3319094660057416,0.005733205324353,0.0038213836072831,0.0192207769434624,0.0089542922465062,0.0142296153925352,0.7263857505362931,0.31510564214887293,0.15108270236127036,0.5786054085401727,0.4767999800524099,5,2025Q2,2025,Up,Up,Up,Up,Up
2025-05-26,108861.81037744328,2546.6201163370915,670.0121393931087,175.13203918726265,2.3405861862412927,0.0095560938660457,0.006790875388676,0.0030650478558407,-0.0049181259611952,0.0037208649658313,0.7430273794925927,0.32022113484037024,0.1537825561357805,0.5735081895877635,0.4805076918511042,5,2025Q2,2025,Up,Up,Up,Down,Up
2025-05-27,109377.71513263127,2562.172928639224,673.7837605333261,174.71672204451494,2.3082922649115565,0.0047390793281802,0.0061072368832546,0.0056291832915651,-0.0023714515326554,-0.0137973647454514,0.7513591991447228,0.32485289159467134,0.15875623191015367,0.5710624697279981,0.46670794380232294,5,2025Q2,2025,Up,Up,Up,Down,Down
2025-05-28,109068.45694901443,2662.0940568241435,687.4363026293119,176.57784495904014,2.318667768777442,-0.002827433204669,0.0389985886854202,0.0202624979936874,0.0106522311816896,0.0044948830889417,0.7463647047425499,0.3546102339567614,0.17675998026052445,0.5820222515549759,0.47114157506581833,5,2025Q2,2025,Down,Up,Up,Up,Up
2025-05-29,107838.18431100152,2676.2674124507,687.631059296252,172.12073410994773,2.2746048552552507,-0.0112798206963543,0.0053241378118191,0.0002833086733931,-0.025241619921946,-0.0190035476904156,0.7264959021393661,0.3588311770491828,0.177016807889877,0.5557752142940487,0.45231273422320495,5,2025Q2,2025,Down,Up,Up,Down,Down
2025-05-30,105745.41660358038,2633.139206528669,675.4110812815895,166.83894593726552,2.250553816367613,-0.0194065554867436,-0.0161150585032671,-0.0177711257358981,-0.0306865305914179,-0.0105737217750456,0.6926978746222888,0.3459872389111997,0.16090219659798172,0.5246718166747268,0.44203531162184284,5,2025Q2,2025,Down,Down,Down,Down,Down
2025-05-31,104010.91956242644,2524.4762348050726,656.2031380761879,156.51262963204462,2.1423194738068942,-0.0164025741905792,-0.0412674618395317,-0.0284388926058996,-0.061893919595391,-0.0480923147776173,0.6646858890983679,0.31362650289471833,0.1355724833938784,0.4638621985144687,0.3957849153843288,5,2025Q2,2025,Down,Down,Down,Down,Down
2025-06-01,104687.50742934884,2532.3627853090866,658.5726942750157,156.86968538083693,2.177000081626197,0.0065049695721257,0.0031240343621705,0.0036110101603212,0.0022813222781556,0.016188345502772,0.6756127278788376,0.3159751831755248,0.1386972416407913,0.4659648286396962,0.41060453562178484,6,2025Q2,2025,Up,Up,Up,Up,Up
